,Home,TotJ,Work
0,530330004022014,1,530330072001047
1,530330026001013,1,530330072001047
2,530330047002015,1,530330072001047
3,530330047003003,1,530330072001047
4,530330048001017,1,530330072001047
5,530330052003011,1,530330072001047
6,530330058023034,1,530330072001047
7,530330060001012,1,530330072001047
8,530330077004004,1,530330072001047
9,530330082001001,1,530330072001047
10,530330095002038,1,530330072001047
11,530330105003001,1,530330072001047
12,530330117003015,1,530330072001047
13,530330121002009,1,530330072001047
14,530330219041036,1,530330072001047
15,530330223001020,1,530330072001047
16,530330226041000,1,530330072001047
17,530330234032005,1,530330072001047
18,530330258043003,1,530330072001047
19,530330264003003,1,530330072001047
20,530330303111000,1,530330072001047
21,530330305031019,1,530330072001047
22,530330315023025,1,530330072001047
23,530330322142014,1,530330072001047
24,530530702072005,1,530330072001047
25,530610407002010,1,530330072001047
26,530610418111013,1,530330072001047
27,530610420051006,1,530330072001047
28,530610504024000,1,530330072001047
29,530610518032009,1,530330072001047
30,530610519254024,1,530330072001047
31,530610522072006,1,530330072001047
32,530610532021029,1,530330072001047
33,530610535061062,1,530330072001047
34,530730008042033,1,530330072001047
35,530090009002013,1,530330073001005
36,530330027004002,1,530330073001005
37,530330217002015,1,530330073001005
38,530610402001012,1,530330073001005
39,530330001001027,1,530330073002016
40,530330004011008,1,530330073002016
41,530330024001017,1,530330073002016
42,530330025002012,1,530330073002016
43,530330026003005,1,530330073002016
44,530330027004005,1,530330073002016
45,530330030004005,1,530330073002016
46,530330036004007,1,530330073002016
47,530330044002025,1,530330073002016
48,530330044003004,1,530330073002016
49,530330053012000,1,530330073002016
50,530330056003028,1,530330073002016
51,530330057003010,1,530330073002016
52,530330057006004,1,530330073002016
53,530330061003018,1,530330073002016
54,530330062001043,1,530330073002016
55,530330068002015,1,530330073002016
56,530330070003014,1,530330073002016
57,530330070006008,1,530330073002016
58,530330071002014,1,530330073002016
59,530330073001016,1,530330073002016
60,530330073002004,1,530330073002016
61,530330073003027,1,530330073002016
62,530330074022005,1,530330073002016
63,530330075004011,1,530330073002016
64,530330080015000,1,530330073002016
65,530330081003012,1,530330073002016
66,530330085003000,1,530330073002016
67,530330085003006,1,530330073002016
68,530330086001018,1,530330073002016
69,530330087001001,1,530330073002016
70,530330087003013,1,530330073002016
71,530330088003017,1,530330073002016
72,530330097011000,1,530330073002016
73,530330097021001,1,530330073002016
74,530330100012018,1,530330073002016
75,530330103005012,1,530330073002016
76,530330103005017,1,530330073002016
77,530330104013008,1,530330073002016
78,530330106003006,1,530330073002016
79,530330106004006,1,530330073002016
80,530330107011006,1,530330073002016
81,530330110012000,1,530330073002016
82,530330110022016,1,530330073002016
83,530330111013008,1,530330073002016
84,530330111024002,1,530330073002016
85,530330117001016,1,530330073002016
86,530330118004005,1,530330073002016
87,530330203002005,1,530330073002016
88,530330205002001,1,530330073002016
89,530330209001002,1,530330073002016
90,530330215002003,1,530330073002016
91,530330220062004,1,530330073002016
92,530330229023007,1,530330073002016
93,530330238031000,1,530330073002016
94,530330238041004,1,530330073002016
95,530330238041007,1,530330073002016
96,530330244002008,1,530330073002016
97,530330248003012,1,530330073002016
98,530330256011009,1,530330073002016
99,530330256013017,1,530330073002016
100,530330257023004,1,530330073002016
101,530330262002009,1,530330073002016
102,530330280001014,1,530330073002016
103,530330282002005,1,530330073002016
104,530330284031003,1,530330073002016
105,530330284032011,1,530330073002016
106,530330301003002,1,530330073002016
107,530330303082012,1,530330073002016
108,530330303111001,1,530330073002016
109,530330306004008,1,530330073002016
110,530330317043000,1,530330073002016
111,530330321032008,1,530330073002016
112,530330322084003,1,530330073002016
113,530330323092032,1,530330073002016
114,530330323133013,1,530330073002016
115,530330323192003,1,530330073002016
116,530350808001004,1,530330073002016
117,530350905012002,1,530330073002016
118,530350907001005,1,530330073002016
119,530530615004020,1,530330073002016
120,530530628013009,1,530330073002016
121,530530633005015,1,530330073002016
122,530530704032019,1,530330073002016
123,530610416063005,1,530330073002016
124,530610417043014,1,530330073002016
125,530610504023002,1,530330073002016
126,530610508003003,1,530330073002016
127,530610514001014,1,530330073002016
128,530610515001001,1,530330073002016
129,530610515003000,1,530330073002016
130,530610518031002,1,530330073002016
131,530610519133009,1,530330073002016
132,530610519182004,1,530330073002016
133,530610519211001,1,530330073002016
134,530610523021011,1,530330073002016
135,530610527092018,1,530330073002016
136,530610535081013,1,530330073002016
137,530670116242027,1,530330073002016
138,530670122212008,1,530330073002016
139,530730008031014,1,530330073002016
140,530039602002009,1,530330073002023
141,530050106003010,1,530330073002023
142,530050108033004,1,530330073002023
143,530050111006008,1,530330073002023
144,530079610007020,1,530330073002023
145,530090008002027,1,530330073002023
146,530090014001000,1,530330073002023
147,530090016002015,1,530330073002023
148,530110401012010,1,530330073002023
149,530110407061012,1,530330073002023
150,530110407091008,1,530330073002023
151,530110409052019,1,530330073002023
152,530270011005014,2,530330073002023
153,530299708002000,1,530330073002023
154,530299714003006,1,530330073002023
155,530299716001012,1,530330073002023
156,530299720002023,1,530330073002023
157,530299721003022,1,530330073002023
158,530330001004001,1,530330073002023
159,530330001004003,1,530330073002023
160,530330001005004,1,530330073002023
161,530330002002000,1,530330073002023
162,530330002004012,1,530330073002023
163,530330002005002,1,530330073002023
164,530330002006012,1,530330073002023
165,530330002006022,1,530330073002023
166,530330004011002,1,530330073002023
167,530330004011006,1,530330073002023
168,530330004021008,1,530330073002023
169,530330004021011,1,530330073002023
170,530330004023014,1,530330073002023
171,530330005001005,1,530330073002023
172,530330005001013,1,530330073002023
173,530330005003015,1,530330073002023
174,530330006002002,1,530330073002023
175,530330006002005,2,530330073002023
176,530330006006008,1,530330073002023
177,530330007001000,1,530330073002023
178,530330007004003,1,530330073002023
179,530330007004007,1,530330073002023
180,530330009002020,1,530330073002023
181,530330012001001,1,530330073002023
182,530330012001016,1,530330073002023
183,530330012003000,2,530330073002023
184,530330013001008,1,530330073002023
185,530330013003017,1,530330073002023
186,530330014001003,1,530330073002023
187,530330014001013,1,530330073002023
188,530330014002013,1,530330073002023
189,530330014002014,1,530330073002023
