Home,TotJ
530019502002123,2
530039602002009,1
530050101001005,1
530050106003010,1
530050108032009,1
530050108033004,1
530050108092014,1
530050108112026,2
530050108142044,1
530050111005012,2
530050111006008,1
530050115034019,2
530079601002108,2
530079602001437,2
530079602002042,1
530079605005066,1
530079606002032,1
530079607001058,1
530079610007020,1
530079610007023,1
530079611004000,1
530079611004024,1
530079612001008,1
530079612001041,1
530090004002009,1
530090008002027,1
530090009002013,1
530090013003004,1
530090014001000,1
530090016002000,1
530090016002015,1
530090020001059,1
530090021002054,1
530110401012010,1
530110401013024,2
530110401022035,2
530110402011021,1
530110403022051,1
530110404091005,2
530110404131008,1
530110404163006,1
530110407061012,1
530110407091008,1
530110407112020,1
530110408094007,1
530110409043008,1
530110409052019,1
530110409081017,1
530110410091002,2
530110411051025,1
530110411081008,1
530110411082001,1
530110411082017,2
530110411103022,1
530110411121000,1
530110411121001,1
530110411122012,1
530110413171007,2
530110413173000,1
530110413332018,1
530110414002001,2
530110425002061,1
530139602001150,1
530150004003010,1
530150005022003,1
530150005022007,1
530150020013022,2
530179507003005,1
530179507003009,2
530179508003034,1
530210201001042,1
530250104003043,2
530250108002021,1
530250114024041,1
530270004005293,1
530270007003135,1
530270010003029,1
530270011004000,1
530270011004005,1
530270011005014,2
530270012004044,1
530299703002026,1
530299704002012,2
530299704003028,1
530299705001025,1
530299706013001,2
530299708002000,1
530299708002024,1
530299709003013,2
530299713001005,2
530299714001008,1
530299714003001,1
530299714003006,1
530299715001028,1
530299715002048,1
530299716001007,1
530299716001012,1
530299717003008,1
530299717003016,2
530299718002026,2
530299719001035,1
530299719002032,2
530299720002023,1
530299720003005,1
530299721001018,1
530299721002000,1
530299721003000,2
530299721003022,1
530299922010079,2
530319503003027,2
530319503004012,1
530319503005004,2
530319506012029,2
530319506016041,1
530330001001015,4
530330001001020,1
530330001001027,3
530330001002001,2
530330001002007,1
530330001002010,1
530330001004001,3
530330001004002,4
530330001004003,1
530330001005004,2
530330001005005,1
530330002001007,1
530330002001009,1
530330002002000,1
530330002002002,1
530330002002009,2
530330002003000,3
530330002003001,1
530330002003006,1
530330002004002,1
530330002004012,1
530330002004013,1
530330002005000,2
530330002005002,1
530330002005004,1
530330002006004,1
530330002006012,1
530330002006015,2
530330002006017,2
530330002006022,1
530330003001013,1
530330003001016,1
530330003001019,1
530330003002000,2
530330003002008,2
530330003002025,2
530330003002026,1
530330004011002,1
530330004011005,3
530330004011006,1
530330004011008,3
530330004011009,4
530330004012016,1
530330004013000,7
530330004021000,1
530330004021005,2
530330004021008,1
530330004021009,1
530330004021010,2
530330004021011,1
530330004021012,1
530330004021013,1
530330004022011,2
530330004022014,1
530330004023002,1
530330004023013,2
530330004023014,1
530330004024005,1
530330004024010,1
530330004024014,1
530330004024015,2
530330004024016,2
530330005001000,1
530330005001005,1
530330005001013,2
530330005002006,4
530330005003013,2
530330005003015,4
530330006001007,2
530330006002000,1
530330006002001,2
530330006002002,3
530330006002003,1
530330006002005,3
530330006002006,1
530330006003000,1
530330006003003,1
530330006004004,2
530330006004005,2
530330006004015,1
530330006004018,2
530330006004030,2
530330006005017,1
530330006006001,2
530330006006002,1
530330006006005,1
530330006006008,1
530330006006010,1
530330007001000,2
530330007001001,1
530330007001004,1
530330007001007,2
530330007002007,1
530330007002016,1
530330007002018,1
530330007004003,1
530330007004004,2
530330007004007,1
530330008001001,2
530330008001012,1
530330008001013,1
530330008002000,3
530330008002005,1
530330008002008,2
530330009002015,2
530330009002020,1
530330009002025,2
530330010001007,1
530330010002002,2
530330010002010,2
530330011001011,1
530330011001012,1
530330011002002,1
530330011002009,2
530330011002014,5
530330012001001,1
530330012001003,1
530330012001007,1
530330012001009,1
530330012001014,1
530330012001016,1
530330012001018,1
530330012003000,6
530330012003002,4
530330012004000,1
530330012004001,5
530330012005005,1
530330013001000,1
530330013001007,1
530330013001008,1
530330013001014,1
530330013002005,1
530330013003009,1
530330013003015,1
530330013003017,1
530330013003020,1
530330013003021,1
530330014001001,3
530330014001003,4
530330014001009,1
530330014001013,1
530330014001014,1
530330014002003,2
530330014002013,1
530330014002014,3
530330014002016,2
530330014003002,1
530330014003012,1
